Year,Month,Community,Total Complaints,Total Number of Callers,data_loaded_at
2022,12,Soquel,"3,722",27,2023/09/01 04:13:58 PM
2019,10,Moraga,196,4,2023/09/01 04:13:58 PM
2019,10,Berkeley,"1,656",5,2023/09/01 04:13:58 PM
2019,8,Brisbane,"3,225",22,2023/09/01 04:13:58 PM
2019,11,Pacifica,"2,062",24,2023/09/01 04:13:58 PM
2021,1,Portola Valley,"18,332",23,2023/09/01 04:13:58 PM
2019,11,Oakland,"6,867",28,2023/09/01 04:13:58 PM
2020,10,Millbrae,71,14,2023/09/01 04:13:58 PM
2021,4,Castro Valley,7,4,2023/09/01 04:13:58 PM
2021,4,Los Altos,"9,768",64,2023/09/01 04:13:58 PM
2021,5,Moraga,732,7,2023/09/01 04:13:58 PM
2021,7,Sunnyvale,59,2,2023/09/01 04:13:58 PM
2021,7,San Jose,1,1,2023/09/01 04:13:58 PM
2021,7,Burlingame,37,26,2023/09/01 04:13:58 PM
2023,4,Santa Cruz,"9,588",42,2023/09/01 04:13:58 PM
2019,8,Berkeley,"1,178",4,2023/09/01 04:13:58 PM
2021,1,San Mateo,581,9,2023/09/01 04:13:58 PM
2021,1,Watsonville,78,1,2023/09/01 04:13:58 PM
2021,1,Scotts Valley,"3,685",43,2023/09/01 04:13:58 PM
2021,2,Atherton,500,5,2023/09/01 04:13:58 PM
2021,4,Capitola,594,8,2023/09/01 04:13:58 PM
2021,4,Emerald Hills,863,6,2023/09/01 04:13:58 PM
2021,3,Los Altos,"10,264",68,2023/09/01 04:13:58 PM
2021,5,Berkeley,768,5,2023/09/01 04:13:58 PM
2021,5,San Francisco,"2,773",27,2023/09/01 04:13:58 PM
2021,6,Belmont,274,4,2023/09/01 04:13:58 PM
2021,7,Felton,182,3,2023/09/01 04:13:58 PM
2021,7,Atherton,138,4,2023/09/01 04:13:58 PM
2021,8,Scotts Valley,"6,792",44,2023/09/01 04:13:58 PM
2020,2,Los Altos Hills,"8,223",19,2023/09/01 04:13:58 PM
2020,3,Foster City,447,11,2023/09/01 04:13:58 PM
2020,4,Saratoga,216,2,2023/09/01 04:13:58 PM
2020,4,Sunnyvale,37,3,2023/09/01 04:13:58 PM
2019,12,Redwood City,"1,886",18,2023/09/01 04:13:58 PM
2023,3,Scotts Valley,"3,626",25,2023/09/01 04:13:58 PM
2023,1,San Francisco,"1,805",17,2023/09/01 04:13:58 PM
2023,3,South San Francisco,259,19,2023/09/01 04:13:58 PM
2021,9,South San Francisco,154,11,2023/09/01 04:13:58 PM
2021,6,Menlo Park,"1,172",12,2023/09/01 04:13:58 PM
2020,3,Scotts Valley,"9,567",61,2023/09/01 04:13:58 PM
2020,3,Capitola,"1,875",15,2023/09/01 04:13:58 PM
2020,4,San Francisco,"1,803",22,2023/09/01 04:13:58 PM
2020,5,Watsonville,156,1,2023/09/01 04:13:58 PM
2020,6,Scotts Valley,"3,895",46,2023/09/01 04:13:58 PM
2020,7,Pacifica,756,17,2023/09/01 04:13:58 PM
2020,8,Los Altos,"9,037",77,2023/09/01 04:13:58 PM
2020,7,San Mateo,871,10,2023/09/01 04:13:58 PM
2020,9,Oakland,"4,178",14,2023/09/01 04:13:58 PM
2020,9,Millbrae,5,1,2023/09/01 04:13:58 PM
2020,11,Daly City,"1,210",4,2023/09/01 04:13:58 PM
2023,3,Moraga,95,3,2023/09/01 04:13:58 PM
2023,2,Menlo Park,"1,255",9,2023/09/01 04:13:58 PM
2023,2,Felton,41,3,2023/09/01 04:13:58 PM
2023,4,Soquel,"3,332",26,2023/09/01 04:13:58 PM
2023,4,Emerald Hills,694,7,2023/09/01 04:13:58 PM
2021,8,Hillsborough,5,2,2023/09/01 04:13:58 PM
2021,10,Scotts Valley,"6,559",45,2023/09/01 04:13:58 PM
2022,8,Belmont,5,3,2023/09/01 04:13:58 PM
2020,10,Menlo Park,"1,171",15,2023/09/01 04:13:58 PM
2019,11,Los Altos Hills,"9,911",23,2023/09/01 04:13:58 PM
2019,12,Portola Valley,"6,991",25,2023/09/01 04:13:58 PM
2020,10,Los Altos Hills,"1,577",20,2023/09/01 04:13:58 PM
2020,12,Foster City,35,4,2023/09/01 04:13:58 PM
2020,12,Moraga,174,4,2023/09/01 04:13:58 PM
2021,4,Pacifica,483,14,2023/09/01 04:13:58 PM
2021,5,Los Altos,"12,026",76,2023/09/01 04:13:58 PM
2021,5,Richmond,"1,931",7,2023/09/01 04:13:58 PM
2021,6,Watsonville,100,1,2023/09/01 04:13:58 PM
2021,8,Mountain View,"2,840",25,2023/09/01 04:13:58 PM
2020,2,Scotts Valley,"7,365",57,2023/09/01 04:13:58 PM
2020,9,Atherton,599,3,2023/09/01 04:13:58 PM
2023,1,Woodside,967,5,2023/09/01 04:13:58 PM
2023,4,Scotts Valley,"3,900",25,2023/09/01 04:13:58 PM
2023,5,Daly City,"1,448",9,2023/09/01 04:13:58 PM
2023,5,Brisbane,331,20,2023/09/01 04:13:58 PM
2022,5,San Francisco,"2,650",16,2023/09/01 04:13:58 PM
2021,11,Portola Valley,"17,448",20,2023/09/01 04:13:58 PM
2021,11,Alameda,58,4,2023/09/01 04:13:58 PM
2021,5,Boulder Creek,40,3,2023/09/01 04:13:58 PM
2021,5,Los Altos Hills,"2,128",20,2023/09/01 04:13:58 PM
2021,7,Los Altos Hills,"1,590",14,2023/09/01 04:13:58 PM
2020,2,Atherton,"1,697",4,2023/09/01 04:13:58 PM
2020,2,Santa Clara,5,1,2023/09/01 04:13:58 PM
2020,4,Atherton,358,4,2023/09/01 04:13:58 PM
2020,5,Pacifica,726,19,2023/09/01 04:13:58 PM
2020,8,Capitola,829,10,2023/09/01 04:13:58 PM
2020,8,Los Gatos,"5,891",62,2023/09/01 04:13:58 PM
2020,9,San Francisco,"2,919",20,2023/09/01 04:13:58 PM
2020,11,Los Gatos,"5,796",62,2023/09/01 04:13:58 PM
2020,9,Half Moon,1,1,2023/09/01 04:13:58 PM
2019,11,Scotts Valley,"7,860",60,2023/09/01 04:13:58 PM
2019,11,Saratoga,343,3,2023/09/01 04:13:58 PM
2020,1,Mountain View,"3,112",31,2023/09/01 04:13:58 PM
2023,3,Richmond,680,3,2023/09/01 04:13:58 PM
2023,1,Soquel,"2,082",27,2023/09/01 04:13:58 PM
2023,2,Pacifica,872,17,2023/09/01 04:13:58 PM
2023,5,San Carlos,3,2,2023/09/01 04:13:58 PM
2022,5,Castro Valley,40,2,2023/09/01 04:13:58 PM
2022,5,Los Altos,"11,739",57,2023/09/01 04:13:58 PM
2021,9,Montara,107,1,2023/09/01 04:13:58 PM
2021,8,Emerald Hills,170,5,2023/09/01 04:13:58 PM
2021,10,Millbrae,65,10,2023/09/01 04:13:58 PM
2021,10,San Jose,4,1,2023/09/01 04:13:58 PM
2021,12,Los Gatos,"6,522",44,2023/09/01 04:13:58 PM
2021,12,Boulder Creek,39,2,2023/09/01 04:13:58 PM
2022,1,San Carlos,52,2,2023/09/01 04:13:58 PM
2022,7,San Francisco,"1,921",19,2023/09/01 04:13:58 PM
2022,8,Los Altos Hills,"1,914",12,2023/09/01 04:13:58 PM
2022,10,Emerald Hills,"1,770",6,2023/09/01 04:13:58 PM
2022,11,Daly City,"1,817",9,2023/09/01 04:13:58 PM
2022,11,San Francisco,"2,094",19,2023/09/01 04:13:58 PM
2023,3,Stanford,767,4,2023/09/01 04:13:58 PM
2021,11,Richmond,434,2,2023/09/01 04:13:58 PM
2022,7,Montara,774,1,2023/09/01 04:13:58 PM
2022,9,South San Francisco,"1,457",9,2023/09/01 04:13:58 PM
2022,10,Scotts Valley,"4,611",28,2023/09/01 04:13:58 PM
2021,7,Soquel,"5,526",41,2023/09/01 04:13:58 PM
2020,5,Los Gatos,"5,122",66,2023/09/01 04:13:58 PM
2020,6,Oakland,"3,915",16,2023/09/01 04:13:58 PM
2020,8,Atherton,937,5,2023/09/01 04:13:58 PM
2023,4,Daly City,504,8,2023/09/01 04:13:58 PM
2021,10,Mountain View,"3,350",26,2023/09/01 04:13:58 PM
2022,9,San Mateo,"1,060",10,2023/09/01 04:13:58 PM
2021,8,Capitola,336,7,2023/09/01 04:13:58 PM
2020,6,Menlo Park,"1,454",23,2023/09/01 04:13:58 PM
2023,1,Santa Cruz,"5,282",40,2023/09/01 04:13:58 PM
2023,1,Foster City,79,11,2023/09/01 04:13:58 PM
2023,5,Pacifica,"1,975",25,2023/09/01 04:13:58 PM
2022,5,Portola Valley,"17,062",24,2023/09/01 04:13:58 PM
2021,9,Burlingame,28,7,2023/09/01 04:13:58 PM
2022,2,San Francisco,"2,530",12,2023/09/01 04:13:58 PM
2022,5,Redwood City,915,8,2023/09/01 04:13:58 PM
2022,7,Moraga,163,3,2023/09/01 04:13:58 PM
2021,3,Union City,1,1,2023/09/01 04:13:58 PM
2020,4,Burlingame,17,1,2023/09/01 04:13:58 PM
2021,9,Mountain View,"2,810",25,2023/09/01 04:13:58 PM
2022,3,Brisbane,327,9,2023/09/01 04:13:58 PM
2021,5,Atherton,687,5,2023/09/01 04:13:58 PM
2020,8,South San Francisco,19,6,2023/09/01 04:13:58 PM
2021,10,San Carlos,48,3,2023/09/01 04:13:58 PM
2022,9,Redwood City,689,9,2023/09/01 04:13:58 PM
2022,9,Los Altos,"10,998",60,2023/09/01 04:13:58 PM
2022,12,East Palo Alto,2,1,2023/09/01 04:13:58 PM
2022,12,Emerald Hills,652,5,2023/09/01 04:13:58 PM
2019,10,Daly City,"1,117",8,2023/09/01 04:13:58 PM
2019,8,Morgan Hill,166,2,2023/09/01 04:13:58 PM
2019,10,Stanford,878,4,2023/09/01 04:13:58 PM
2019,9,Saratoga,298,5,2023/09/01 04:13:58 PM
2019,8,Belmont,315,4,2023/09/01 04:13:58 PM
2021,1,Redwood City,"3,409",5,2023/09/01 04:13:58 PM
2021,4,Atherton,193,5,2023/09/01 04:13:58 PM
2019,10,Orinda,14,2,2023/09/01 04:13:58 PM
2019,11,Walnut Creek,1,1,2023/09/01 04:13:58 PM
2019,11,Morgan Hill,37,2,2023/09/01 04:13:58 PM
2021,2,Emerald Hills,"1,025",5,2023/09/01 04:13:58 PM
2021,1,Woodside,"1,427",6,2023/09/01 04:13:58 PM
2021,1,Richmond,928,4,2023/09/01 04:13:58 PM
2021,1,Sunnyvale,81,2,2023/09/01 04:13:58 PM
2021,5,Daly City,"1,022",6,2023/09/01 04:13:58 PM
2021,6,Berkeley,427,3,2023/09/01 04:13:58 PM
2021,8,Hayward,16,1,2023/09/01 04:13:58 PM
2020,2,Burlingame,189,9,2023/09/01 04:13:58 PM
2020,4,Foster City,31,7,2023/09/01 04:13:58 PM
2020,7,Oakland,"4,769",13,2023/09/01 04:13:58 PM
2020,6,Alameda,366,1,2023/09/01 04:13:58 PM
2020,6,Orinda,13,1,2023/09/01 04:13:58 PM
2020,10,Orinda,30,3,2023/09/01 04:13:58 PM
2023,3,Watsonville,62,1,2023/09/01 04:13:58 PM
2023,2,Stanford,545,3,2023/09/01 04:13:58 PM
2023,5,Oakland,"3,265",10,2023/09/01 04:13:58 PM
2023,6,Richmond,221,3,2023/09/01 04:13:58 PM
2022,5,Moraga,251,4,2023/09/01 04:13:58 PM
2021,9,Castro Valley,22,2,2023/09/01 04:13:58 PM
2021,11,San Carlos,60,1,2023/09/01 04:13:58 PM
2019,11,Carmel Valley,20,3,2023/09/01 04:13:58 PM
2020,12,Watsonville,71,1,2023/09/01 04:13:58 PM
2020,5,Montara,312,3,2023/09/01 04:13:58 PM
2020,9,Menlo Park,"1,357",15,2023/09/01 04:13:58 PM
2020,9,South San Francisco,6,3,2023/09/01 04:13:58 PM
2020,1,Ben Lomond,32,6,2023/09/01 04:13:58 PM
2023,3,Felton,58,3,2023/09/01 04:13:58 PM
2022,3,Woodside,"1,898",7,2023/09/01 04:13:58 PM
2022,3,Stanford,468,4,2023/09/01 04:13:58 PM
2021,9,Stanford,246,4,2023/09/01 04:13:58 PM
2021,12,Campbell,7,1,2023/09/01 04:13:58 PM
2022,6,Foster City,57,6,2023/09/01 04:13:58 PM
2022,9,Atherton,103,4,2023/09/01 04:13:58 PM
2022,2,Redwood City,"1,085",6,2023/09/01 04:13:58 PM
2022,10,San Bruno,848,6,2023/09/01 04:13:58 PM
2022,11,Burlingame,5,4,2023/09/01 04:13:58 PM
2022,12,Ben Lomond,5,2,2023/09/01 04:13:58 PM
2023,4,Fremont,62,3,2023/09/01 04:13:58 PM
2021,10,Ben Lomond,5,2,2023/09/01 04:13:58 PM
2022,1,Alamo,6,1,2023/09/01 04:13:58 PM
2022,11,Boulder Creek,8,2,2023/09/01 04:13:58 PM
2020,7,Capitola,709,11,2023/09/01 04:13:58 PM
2022,2,Ben Lomond,6,2,2023/09/01 04:13:58 PM
2022,12,Atherton,78,3,2023/09/01 04:13:58 PM
2022,12,Woodside,"1,582",5,2023/09/01 04:13:58 PM
2022,12,Felton,41,3,2023/09/01 04:13:58 PM
2019,9,Morgan Hill,155,2,2023/09/01 04:13:58 PM
2019,12,Stanford,791,4,2023/09/01 04:13:58 PM
2019,10,Brookdale,1,1,2023/09/01 04:13:58 PM
2019,8,Half Moon,4,3,2023/09/01 04:13:58 PM
2020,10,San Bruno,66,4,2023/09/01 04:13:58 PM
2021,1,San Bruno,19,3,2023/09/01 04:13:58 PM
2020,10,Stanford,432,3,2023/09/01 04:13:58 PM
2020,10,Redwood City,574,5,2023/09/01 04:13:58 PM
2020,12,Millbrae,9,4,2023/09/01 04:13:58 PM
2021,4,San Jose,1,1,2023/09/01 04:13:58 PM
2021,4,Cupertino,248,2,2023/09/01 04:13:58 PM
2020,6,East Palo Alto,13,2,2023/09/01 04:13:58 PM
2023,1,Emerald Hills,424,5,2023/09/01 04:13:58 PM
2023,4,Oakland,"2,175",11,2023/09/01 04:13:58 PM
2021,11,Daly City,"1,837",7,2023/09/01 04:13:58 PM
2021,12,Ben Lomond,1,1,2023/09/01 04:13:58 PM
2020,9,Ben Lomond,2,2,2023/09/01 04:13:58 PM
2020,11,Boulder Creek,4,2,2023/09/01 04:13:58 PM
2023,3,Capitola,65,3,2023/09/01 04:13:58 PM
2023,5,Sunnyvale,"1,115",4,2023/09/01 04:13:58 PM
2021,9,Emerald Hills,457,4,2023/09/01 04:13:58 PM
2021,9,Ben Lomond,7,2,2023/09/01 04:13:58 PM
2021,8,Half Moon,1,1,2023/09/01 04:13:58 PM
2021,11,San Ramon,2,1,2023/09/01 04:13:58 PM
2021,12,Penngrove,1,1,2023/09/01 04:13:58 PM
2022,1,Los Altos Hills,"1,439",11,2023/09/01 04:13:58 PM
2022,5,Belmont,1,1,2023/09/01 04:13:58 PM
2022,8,Cupertino,30,1,2023/09/01 04:13:58 PM
2020,7,Hillsborough,11,1,2023/09/01 04:13:58 PM
2022,4,Orinda,26,2,2023/09/01 04:13:58 PM
2022,2,Moraga,209,3,2023/09/01 04:13:58 PM
2022,7,Felton,113,2,2023/09/01 04:13:58 PM
2022,3,Ben Lomond,1,1,2023/09/01 04:13:58 PM
2022,11,Brentwood,1,1,2023/09/01 04:13:58 PM
2022,11,Alameda,2,2,2023/09/01 04:13:58 PM
2020,2,Woodside,"1,174",10,2023/09/01 04:13:58 PM
2020,9,Foster City,14,3,2023/09/01 04:13:58 PM
2022,10,El Granada,"1,007",1,2023/09/01 04:13:58 PM
2019,9,Sunnyvale,95,8,2023/09/01 04:13:58 PM
2019,8,Millbrae,13,2,2023/09/01 04:13:58 PM
2020,10,El Granada,532,2,2023/09/01 04:13:58 PM
2021,8,Brisbane,308,12,2023/09/01 04:13:58 PM
2019,12,Bonny Doon,27,2,2023/09/01 04:13:58 PM
2021,1,Burlingame,30,2,2023/09/01 04:13:58 PM
2020,12,Stanford,503,3,2023/09/01 04:13:58 PM
2020,5,Richmond,"1,057",4,2023/09/01 04:13:58 PM
2023,6,Boulder Creek,5,2,2023/09/01 04:13:58 PM
2022,4,Cupertino,448,1,2023/09/01 04:13:58 PM
2020,8,Saratoga,180,1,2023/09/01 04:13:58 PM
2020,2,Sunnyvale,41,4,2023/09/01 04:13:58 PM
2023,3,Burlingame,5,3,2023/09/01 04:13:58 PM
2023,2,Walnut Creek,1,1,2023/09/01 04:13:58 PM
2022,3,Richmond,204,2,2023/09/01 04:13:58 PM
2023,2,Lafayette,1,1,2023/09/01 04:13:58 PM
2022,6,Aptos,14,3,2023/09/01 04:13:58 PM
2022,12,Belmont,2,1,2023/09/01 04:13:58 PM
2022,7,Belmont,1,1,2023/09/01 04:13:58 PM
2022,8,Montara,190,1,2023/09/01 04:13:58 PM
2022,9,San Jose,1,1,2023/09/01 04:13:58 PM
2019,11,Sunnyvale,326,5,2023/09/01 04:13:58 PM
2019,9,Hayward,1,1,2023/09/01 04:13:58 PM
2021,7,Bonny Doon,1,1,2023/09/01 04:13:58 PM
2021,2,San Jose,294,1,2023/09/01 04:13:58 PM
2021,5,Aptos,14,3,2023/09/01 04:13:58 PM
2021,8,La Honda,5,1,2023/09/01 04:13:58 PM
2020,3,Orinda,66,1,2023/09/01 04:13:58 PM
2020,4,Fremont,39,1,2023/09/01 04:13:58 PM
2020,1,El Granada,837,2,2023/09/01 04:13:58 PM
2023,2,San Carlos,64,2,2023/09/01 04:13:58 PM
2023,6,Sf,2,2,2023/09/01 04:13:58 PM
2020,6,Lafayette,22,2,2023/09/01 04:13:58 PM
2020,8,Orinda,1,1,2023/09/01 04:13:58 PM
2023,6,Fremont,325,1,2023/09/01 04:13:58 PM
2022,2,Cupertino,138,1,2023/09/01 04:13:58 PM
2022,3,Hillsborough,6,1,2023/09/01 04:13:58 PM
2023,3,Hillsborough,31,1,2023/09/01 04:13:58 PM
2022,5,Union City,383,1,2023/09/01 04:13:58 PM
2022,7,San Carlos,168,3,2023/09/01 04:13:58 PM
2020,10,Carmel Valley,1,1,2023/09/01 04:13:58 PM
2020,2,Orinda,10,1,2023/09/01 04:13:58 PM
2023,3,San Carlos,129,2,2023/09/01 04:13:58 PM
2023,1,Boulder Creek,3,2,2023/09/01 04:13:58 PM
2023,6,Capitola,59,2,2023/09/01 04:13:58 PM
2022,12,San Carlos,92,2,2023/09/01 04:13:58 PM
2019,8,West Menlo Park,2,1,2023/09/01 04:13:58 PM
2019,8,Santa Clara,32,1,2023/09/01 04:13:58 PM
2021,8,Watsonville,111,1,2023/09/01 04:13:58 PM
2021,4,Mill Valley,2,1,2023/09/01 04:13:58 PM
2020,7,Cupertino,225,2,2023/09/01 04:13:58 PM
2020,6,El Granada,482,1,2023/09/01 04:13:58 PM
2023,3,Alamo,1,1,2023/09/01 04:13:58 PM
2023,6,Lafayette,5,1,2023/09/01 04:13:58 PM
2023,6,94402,1,1,2023/09/01 04:13:58 PM
2021,2,Orinda,12,1,2023/09/01 04:13:58 PM
2021,1,Montara,77,1,2023/09/01 04:13:58 PM
2021,6,El Granada,614,1,2023/09/01 04:13:58 PM
2020,5,Cupertino,183,2,2023/09/01 04:13:58 PM
2022,1,Aptos,10,2,2023/09/01 04:13:58 PM
2022,2,East Palo Alto,5,1,2023/09/01 04:13:58 PM
2019,9,Lafayette,71,1,2023/09/01 04:13:58 PM
2021,5,Orinda,11,1,2023/09/01 04:13:58 PM
2022,3,San Jose,1,1,2023/09/01 04:13:58 PM
2021,9,Carmel Valley,1,1,2023/09/01 04:13:58 PM
2022,3,East Palo Alto,15,1,2023/09/01 04:13:58 PM
2022,12,Foster City,126,5,2023/09/01 04:13:58 PM
2022,12,Santa Cruz,"9,042",51,2023/09/01 04:13:58 PM
2022,12,Los Gatos,"3,650",30,2023/09/01 04:13:58 PM
2019,9,San Francisco,"5,146",34,2023/09/01 04:13:58 PM
2019,9,Scotts Valley,"9,738",60,2023/09/01 04:13:58 PM
2019,9,Los Gatos,"11,427",110,2023/09/01 04:13:58 PM
2019,9,Pacifica,"2,189",32,2023/09/01 04:13:58 PM
2019,10,Castro Valley,2,1,2023/09/01 04:13:58 PM
2019,9,Felton,545,10,2023/09/01 04:13:58 PM
2019,8,Santa Cruz,"19,601",117,2023/09/01 04:13:58 PM
2021,2,Pacifica,385,11,2023/09/01 04:13:58 PM
2022,12,Los Altos,"8,153",49,2023/09/01 04:13:58 PM
2019,10,Pacifica,"1,767",28,2023/09/01 04:13:58 PM
2019,9,Oakland,"8,101",31,2023/09/01 04:13:58 PM
2019,8,Los Altos,"20,188",125,2023/09/01 04:13:58 PM
2019,10,Boulder Creek,42,8,2023/09/01 04:13:58 PM
2019,9,Daly City,812,8,2023/09/01 04:13:58 PM
2019,10,Mountain View,"2,922",27,2023/09/01 04:13:58 PM
2019,10,Atherton,"1,403",4,2023/09/01 04:13:58 PM
2019,8,San Bruno,592,11,2023/09/01 04:13:58 PM
2019,12,Menlo Park,"1,933",23,2023/09/01 04:13:58 PM
2019,11,Portola Valley,"6,696",26,2023/09/01 04:13:58 PM
2019,12,Saratoga,218,2,2023/09/01 04:13:58 PM
2019,11,Redwood City,"1,048",8,2023/09/01 04:13:58 PM
2019,11,San Mateo,849,12,2023/09/01 04:13:58 PM
2020,10,Santa Cruz,"9,906",73,2023/09/01 04:13:58 PM
2020,10,San Carlos,295,2,2023/09/01 04:13:58 PM
2020,10,Richmond,"1,983",4,2023/09/01 04:13:58 PM
2021,5,Ben Lomond,1,1,2023/09/01 04:13:58 PM
2019,8,Redwood City,"1,745",12,2023/09/01 04:13:58 PM
2019,11,Atherton,"1,009",5,2023/09/01 04:13:58 PM
2019,11,Capitola,"1,311",16,2023/09/01 04:13:58 PM
2020,10,San Francisco,"2,897",25,2023/09/01 04:13:58 PM
2021,1,Stanford,582,3,2023/09/01 04:13:58 PM
2021,4,Daly City,986,7,2023/09/01 04:13:58 PM
2021,4,Oakland,"4,181",13,2023/09/01 04:13:58 PM
2021,4,Portola Valley,"10,590",19,2023/09/01 04:13:58 PM
2021,6,Los Altos,"10,862",76,2023/09/01 04:13:58 PM
2021,6,San Francisco,"3,947",25,2023/09/01 04:13:58 PM
2021,3,Atherton,296,6,2023/09/01 04:13:58 PM
2021,5,South San Francisco,8,4,2023/09/01 04:13:58 PM
2021,7,Emerald Hills,350,4,2023/09/01 04:13:58 PM
2020,3,Santa Cruz,"22,680",101,2023/09/01 04:13:58 PM
2020,3,Richmond,"3,561",5,2023/09/01 04:13:58 PM
2020,4,Cupertino,116,1,2023/09/01 04:13:58 PM
2020,8,Daly City,707,6,2023/09/01 04:13:58 PM
2020,11,Oakland,"3,846",13,2023/09/01 04:13:58 PM
2023,5,Palo Alto,"23,898",115,2023/09/01 04:13:58 PM
2023,6,Watsonville,71,1,2023/09/01 04:13:58 PM
2023,6,Foster City,509,11,2023/09/01 04:13:58 PM
2019,11,San Francisco,"5,961",43,2023/09/01 04:13:58 PM
2020,12,Hayward,99,1,2023/09/01 04:13:58 PM
2020,4,Oakland,"3,033",17,2023/09/01 04:13:58 PM
2020,10,South San Francisco,1,1,2023/09/01 04:13:58 PM
2023,1,Los Altos Hills,745,9,2023/09/01 04:13:58 PM
2023,4,San Bruno,361,8,2023/09/01 04:13:58 PM
2021,9,Portola Valley,"17,589",22,2023/09/01 04:13:58 PM
2020,5,San Francisco,"1,681",28,2023/09/01 04:13:58 PM
2022,6,Atherton,70,4,2023/09/01 04:13:58 PM
2021,11,Los Gatos,"7,121",45,2023/09/01 04:13:58 PM
2022,11,Santa Cruz,"9,138",53,2023/09/01 04:13:58 PM
2019,12,Pacifica,"3,205",25,2023/09/01 04:13:58 PM
2019,12,Los Altos Hills,"8,612",23,2023/09/01 04:13:58 PM
2019,11,South San Francisco,159,11,2023/09/01 04:13:58 PM
2019,9,Piedmont,12,1,2023/09/01 04:13:58 PM
2019,12,South San Francisco,155,10,2023/09/01 04:13:58 PM
2020,12,Aptos,10,4,2023/09/01 04:13:58 PM
2021,4,Santa Cruz,"8,186",64,2023/09/01 04:13:58 PM
2019,11,Palo Alto,"34,502",162,2023/09/01 04:13:58 PM
2021,2,San Mateo,339,9,2023/09/01 04:13:58 PM
2020,12,Ben Lomond,1,1,2023/09/01 04:13:58 PM
2020,12,Felton,84,5,2023/09/01 04:13:58 PM
2021,4,Felton,78,4,2023/09/01 04:13:58 PM
2021,3,San Francisco,"2,925",23,2023/09/01 04:13:58 PM
2021,6,Soquel,"6,026",39,2023/09/01 04:13:58 PM
2021,2,Oakland,"3,810",15,2023/09/01 04:13:58 PM
2021,6,Foster City,777,14,2023/09/01 04:13:58 PM
2021,7,Richmond,733,4,2023/09/01 04:13:58 PM
2021,8,San Francisco,"3,383",28,2023/09/01 04:13:58 PM
2021,8,Pacifica,818,16,2023/09/01 04:13:58 PM
2020,1,Scotts Valley,"7,888",65,2023/09/01 04:13:58 PM
2020,3,Los Altos Hills,"9,886",19,2023/09/01 04:13:58 PM
2020,3,Emerald Hills,"3,831",8,2023/09/01 04:13:58 PM
2020,4,Redwood City,537,8,2023/09/01 04:13:58 PM
2020,4,Scotts Valley,"3,059",54,2023/09/01 04:13:58 PM
2020,5,Oakland,"2,857",21,2023/09/01 04:13:58 PM
2020,6,San Francisco,"2,470",23,2023/09/01 04:13:58 PM
2020,6,Los Altos Hills,"3,978",24,2023/09/01 04:13:58 PM
2020,8,Mountain View,"2,193",19,2023/09/01 04:13:58 PM
2020,7,San Francisco,"3,138",20,2023/09/01 04:13:58 PM
2020,11,Stanford,442,3,2023/09/01 04:13:58 PM
2020,11,Woodside,"1,174",6,2023/09/01 04:13:58 PM
2023,4,Richmond,225,4,2023/09/01 04:13:58 PM
2022,5,Soquel,"6,899",41,2023/09/01 04:13:58 PM
2022,5,Mountain View,"3,042",20,2023/09/01 04:13:58 PM
2021,12,Felton,72,4,2023/09/01 04:13:58 PM
2022,2,Emerald Hills,870,4,2023/09/01 04:13:58 PM
2022,2,Brisbane,317,6,2023/09/01 04:13:58 PM
2022,11,Los Gatos,"3,936",35,2023/09/01 04:13:58 PM
2020,12,San Carlos,98,2,2023/09/01 04:13:58 PM
2020,2,Palo Alto,"33,388",141,2023/09/01 04:13:58 PM
2020,2,Portola Valley,"16,867",28,2023/09/01 04:13:58 PM
2020,5,Foster City,45,12,2023/09/01 04:13:58 PM
2020,6,Santa Clara,5,1,2023/09/01 04:13:58 PM
2020,8,Los Altos Hills,"3,659",21,2023/09/01 04:13:58 PM
2020,7,Santa Cruz,"8,661",66,2023/09/01 04:13:58 PM
2020,9,Pacifica,698,13,2023/09/01 04:13:58 PM
2020,1,San Francisco,"4,590",35,2023/09/01 04:13:58 PM
2023,1,Oakland,"3,509",14,2023/09/01 04:13:58 PM
2023,4,San Carlos,248,4,2023/09/01 04:13:58 PM
2022,4,Daly City,"2,411",7,2023/09/01 04:13:58 PM
2021,8,Richmond,363,4,2023/09/01 04:13:58 PM
2021,9,Boulder Creek,17,3,2023/09/01 04:13:58 PM
2021,10,Los Gatos,"8,605",49,2023/09/01 04:13:58 PM
2021,11,Mountain View,"2,552",22,2023/09/01 04:13:58 PM
2022,7,Santa Cruz,"16,845",73,2023/09/01 04:13:58 PM
2022,7,Los Gatos,"7,883",39,2023/09/01 04:13:58 PM
2022,7,Foster City,73,6,2023/09/01 04:13:58 PM
2022,8,San Francisco,"2,392",17,2023/09/01 04:13:58 PM
2022,7,Emerald Hills,599,4,2023/09/01 04:13:58 PM
2022,9,Moraga,316,3,2023/09/01 04:13:58 PM
2022,10,San Francisco,"3,134",20,2023/09/01 04:13:58 PM
2022,6,Los Altos Hills,"1,756",11,2023/09/01 04:13:58 PM
2022,6,South San Francisco,"6,096",13,2023/09/01 04:13:58 PM
2021,10,Carmel Valley,9,1,2023/09/01 04:13:58 PM
2022,2,San Mateo,672,8,2023/09/01 04:13:58 PM
2022,9,Mountain View,"3,341",17,2023/09/01 04:13:58 PM
2022,10,South San Francisco,731,8,2023/09/01 04:13:58 PM
